Epoch,1000_users, 5000_users, 10000_users,  30000_users, 70000_users,138493_users,
0,3.873,3.889,3.886,3.873,3.824,3.886,
1,3.358,3.405,3.3020,3.201,3.105,3.005,
2,3.024,3.007,2.9080,2.700,2.604,2.501,
3,2.473,2.502,2.2050,2.208,2.103,2.050,
4,2.082,2.102,2.0303,1.902,1.9370,1.830,
5,1.848,1.906,1.7044,1.505,1.495,1.396,
6,1.531,1.629,1.4878,1.266,1.343,1.192,
7,1.289,1.227,1.3083,1.167,1.099,0.958,
8,1.226,0.922,1.1287,0.969,0.870,0.855,
9,1.213,0.823,1.0788,0.860,0.849,0.765,
10,1.136,0.793,0.7778,0.761,0.775,0.654,
11,1.090,0.726,0.7338,0.663,0.565,0.533,
12,1.049,0.676,0.6838,0.565,0.444,0.405,
13,0.978,0.518,0.588,0.513,0.424,0.368
14,0.949,0.590,0.513,0.498,0.392,0.364,
15,0.929,0.551,0.604,0.463,0.331,0.360,
16,0.885,0.536,0.607,0.464,0.315,0.357,
17,0.852,0.585,0.652,0.451,0.346,0.356,
18,0.805,0.634,0.677,0.471,0.298,0.335,
19,0.831,0.703,0.739,0.468,0.346,0.345,
20,0.850,0.858,0.747,0.494,0.343,0.351,
21,0.874,0.837,0.726,0.478,0.343,0.347,
22,0.855,0.966,0.746,0.514,0.343,0.343,
23,0.881,0.814,0.743,0.557,0.343,0.333,

